name,address,experience,skills,sal_from,sal_to
"Senior DS/ML Developer (LLM/NLP, ASR)",Москва,Более 6 лет,"machine learning, pytorch, torchaudio, LangChain, Saiga-2, fastText, kaldi, Milvus, cython, C++, SQL, RabbitMQ, PostgreSQL, FreeSwitch",180000,250000
Team Lead Data Science,Санкт-Петербург,От 3 до 6 лет,"Python, Big Data, SQL, Hadoop, АВ-тестирование, Математическая статистика, Математический анализ",150000,250000
Middle Research Engineer,Москва,От 3 до 6 лет,"Pytorch, Git, Docker, Deep learning, Python, Jira",100000,150000
Data Scientist (Deep Learning for Demand Forecast),Санкт-Петербург,От 3 до 6 лет,"Deep Learning, Прогнозирование, Time Series",55000,105000
NLP разработчик,Нижний Новгород,От 3 до 6 лет,"NLP, Python, Machine Learning, Deep Learning, Numpy, Алгоритмы, Машинное обучение, ML, Git",270000,290000
Middle+/Senior Data Scientist (модели кредитного риска),Москва,От 3 до 6 лет,"Python3 (numpy, pandas, scikit-learn, xgboost, lightgbm, catboost, etc), git",180000,230000
Data Engineer,Московская область,От 3 до 6 лет,"PostgreSQL, ETL, DWH, ClickHouse",300000,330000
Руководитель направления (team lead) Data Science,Москва,От 3 до 6 лет,"python, pandas, numpy, визуализация (matplotlib, seaborn, plotly, пр.), sklearn,CatBoost, XGBoost, LightGBM, Git, Flask, FastAPI- для получения данных: SQL (PostgreSQL)- для мониторинга: Grafana",180000,230000
Data Engineer (middle),Москва,От 1 года до 3 лет,"Python, SQL",210000,240000
"Senior ML Engineer (Senior Data Scientist), Маркетплейс, Цены и анализ конкурентов",Москва,От 3 до 6 лет,"PyTorch, PySpark, Python, ML",180000,230000
Data Engineer,Москва,От 1 года до 3 лет,"Python, Java, Scala, SQL",280000,330000
Data Engineer Управления разработки продукта программного обеспечения автономного вождения,Москва,От 1 года до 3 лет,"Python, Spark, Big Data, Dagster, Kafka, Airflow, C++, геоданные, SQL, ETL",120000,170000
Machine Learning Engineer,Нижний Новгород,От 3 до 6 лет,"Python, Machine Learning, Linux",180000,210000
"Computer Vision (CV, Python, C++) инженер",Москва,От 1 года до 3 лет,"Python, OpenCV",200000,250000
Machine Learning Engineer,Новосибирск,От 3 до 6 лет,"Python, Machine Learning, Linux",75000,105000
Senior Data Scientist (Pricing),Московская область,От 3 до 6 лет,"Python, Machine Learning, Big Data, ML, Spark",120000,170000
Data Scientist,Москва,От 3 до 6 лет,"matplotlib, seaborn, plotly, pandas, numpy, scikit-learn, scipy, statsmodels",150000,200000
Senior Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, Machine Learning, Анализ данных",150000,180000
Senior Data Engineer,Новосибирск,От 3 до 6 лет,"Python, Docker, Pandas, Kafka, Kubernetes, Luigi, Clickhouse",250000,260000
Middle/Senior Data Scientist в команду NLP,Екатеринбург,От 3 до 6 лет,"NLP, Python, PyTorch, Data Science, Numpy, Sklearn",100000,150000
Data Scientist Middle+/Senior,Санкт-Петербург,От 3 до 6 лет,"Pandas, Matplotlib, Numpy, Scipy, Sklearn, SQL",130000,160000
Data engineer,Санкт-Петербург,От 1 года до 3 лет,"ClickHouse, Pythоn, SQL, AirFlow, Spark, Apache Kafka, Yandex Cloud, Big Data, Kubernetes, FastAPI\Flask API",130000,180000
ML Engineer,Московская область,От 3 до 6 лет,"Python, SQL, Spark",270000,340000
Разработчик ETL,Москва,От 3 до 6 лет,"SAP BusinessObject, SAP DataIntegrator, MS SQL, Oracle",200000,230000
ML Engineer RecSyS,Санкт-Петербург,От 3 до 6 лет,"Python, SQL",300000,350000
Разработчик алгоритмов оптимизации,Санкт-Петербург,От 3 до 6 лет,"Математическое моделирование, Java, Kotlin",180000,230000
Machine Learning / Computer Vision Engineer,Москва,От 3 до 6 лет,"Python, PyTorch, Machine Learning, Deep Learning, OpenCV, Алгоритмы, Resnet, Mobilenet, U-net, Yolo, Deeplab, Computer Vision, Английский язык, GitLab CI",210000,260000
Computer Vision Engineer C/C++,Московская область,От 1 года до 3 лет,"OpenCV, PyTorch, Gstreamer, Nvidia Triton Server (TRT), OpenVINO, С++",210000,230000
Middle Computer Vision Engineer,Новосибирск,От 1 года до 3 лет,"NumPy, Pandas, OpenCV, Sklearn, Matplotlib, git",120000,130000
Data engineer,Новосибирск,От 3 до 6 лет,"SQL, Python, Kafka, Docker",130000,200000
Senior/Lead Data Scientist,Москва,От 3 до 6 лет,"Python, classic ML, Data Science, SQL, Airflow, MLflow, Deep Learning",270000,300000
Machine Learning / Machine Learning Ops Engineer,Московская область,От 1 года до 3 лет,"Опыт работы с DVC, MLFlow, Airflow, Docker; Уверенное знание PostgreSQL, Redis, Kafka, ClickHouse; Опыт разработки REST-сервисов (FastApi (Flask, Django) + aiohttp); Умение работать с git",270000,320000
Data Analytics Team Lead,Москва,От 1 года до 3 лет,"Python, SQL, ML",180000,200000
Data Scientist (модели PD/LGD/EAD),Нижний Новгород,От 1 года до 3 лет,"Python, ML, Data Science, Анализ данных",100000,110000
Middle Data Science,Сочи,От 3 до 6 лет,"PostgreSQL, Python, SQL, MLFlow, Airflow",120000,150000
ML engineer,Новосибирск,От 1 года до 3 лет,"Python, SQL, ML, Science, RecSys, PostgreSQL, Анализ данных, Machine Learning, Data Science",130000,150000
Руководитель управления моделирования по автострахованию,Москва,От 1 года до 3 лет,Python,180000,230000
Senior Data Engineer,Санкт-Петербург,От 1 года до 3 лет,"ClickHouse, Pythоn, SQL, AirFlow, Spark, Apache Kafka, Yandex Cloud, Big Data, Kubernetes, FastAPI\Flask API, Java",180000,280000
TeamLead Data Scientist,Санкт-Петербург,От 3 до 6 лет,"Python, SQL, PySpark, Pandas, PyTorch, RecBole, Scikit-learn, MLFlow, AirFlow, Prefect, Luigi",280000,310000
DBA (Администратор баз данных),Москва,Более 6 лет,"PostgreSQL, MySQL",150000,180000
Lead Data Engineer,Москва,От 3 до 6 лет,"Greenplum (Arenadata DB), PostgreSQL, Clickhouse",300000,320000
Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, MS SQL, ORACLE, PostgreSQL, Git, ETL, Hadoop, Airflow, Spark",200000,250000
Teamlead Data Science,Москва,От 3 до 6 лет,"Python, Big Data, Kubernetes, FastAPI, Pytorch, Triton inference server, OpenCV, Docker, Умение принимать решения, Организаторские навыки, Управление командой, Работа с большим объемом информации",280000,290000
Senior Data scientist,Москва,От 3 до 6 лет,"Python ML stack, Python NLP stack, JupyterLab",270000,370000
DevOps инженер,Москва,Более 6 лет,"Hadoop, Spark, Airflow, Docker",180000,280000
Data Scientist/ML Engineer,Томск,От 3 до 6 лет,"SQL, Python, Machine learning, Data Analysis",180000,230000
Data scientist Middle\Senior (кредитный скоринг),Москва,От 1 года до 3 лет,"Python, ООП, ML",150000,200000
Data scientist (команда Collection),Москва,От 3 до 6 лет,"SQL, Python, Математическое моделирование, Big Data, ML",100000,170000
Data Scientist (middle),Москва,От 1 года до 3 лет,"SQL, ETL, Power BI, Yandex Cloud Platform",130000,200000
Data Scienti​​​​​​​st ,Москва,От 3 до 6 лет,"Python, jupyter, pycharm, sql, pyspark, sparkML, git, jira, confluence",210000,260000
Data Analyst в команду DS,Московская область,От 1 года до 3 лет,"SQL, Data Analysis",270000,290000
Data Scientist (Scoring),Москва,От 3 до 6 лет,"Опыт построения моделей с помощью классического ML-стека; Любовь к Python, ООП и структурам данных; Навыки работы с (py)Spark, Уверенные знания SQL, теории вероятности и статистики; Кейсы с применением собственных методик в анализе данных и построении моделей на табличных данных; Хорошие отношения с Git, Jira, Confluence",300000,310000
"Ведущий Data Scientist, Ранжирование поиска",Москва,От 3 до 6 лет,"Python, data science, Разработка поисковых технологий, IT",180000,230000
Data Scientist (NLP AI),Московская область,От 3 до 6 лет,"NLP, Llama, LoRA",200000,210000
Senior ML инженер,Санкт-Петербург,Более 6 лет,"PostgreSQL, ClickHouse, PyTorch, Tensorflow, Scikit-learn, ML, Golang",100000,110000
Data Engineer,Москва,От 1 года до 3 лет,"Apache Kafka, SQL",100000,120000
"ML Data Scientist (Middle, Senior)",Москва,От 3 до 6 лет,"Python, Machine Learning, Bokeh, Plotly, SQL",270000,320000
Senior Machine Learning Engineer,Москва,От 3 до 6 лет,"PySpark, Airflow, Hadoop",100000,110000
Data Engineer / Big Data Engineer,Москва,От 3 до 6 лет,"Hadoop, Spark, Hive, Map Reduce, Data streaming (Kafka, NiFi), Greenplum; Python Application Server (Anaconda); Jupiter notebook, Jupiter Hub; Red Hat, Ubuntu, CentOS; GitLab",120000,150000
Data Scientist (Моделирование рисков розничного кредитования),Москва,От 3 до 6 лет,"Python, pd, lgd, SQL",100000,150000
Data scientist,Москва,От 3 до 6 лет,"SQL, ML",270000,340000
Специалист в группу технического сопровождения,Новосибирск,От 1 года до 3 лет,"MS SQL, PostgreSQL, API, Базы данных, Техническая поддержка",45000,145000
ML Engineer,Москва,От 3 до 6 лет,"deep learning (Reinforcement Learning, RNN, LSTM); знание инструментов AutoML; опыт работы с Apache NiFi; отличное знание Python (scikit-learn, pandas, numpy, scipy, xgboost, tensorflow/pytorch, keras) Scala",180000,210000
Senior Data инженер в команду Data Финансовой платформы,Москва,От 3 до 6 лет,"Python, Scala",280000,300000
Data Scientist,Москва,От 3 до 6 лет,"Python, PyTorch, Tensorflow, Pandas, Numpy, Xgboost, Catboost, HuggingFace, Arima",80000,180000
Lead Data Engineer,Москва,От 3 до 6 лет,"Python, PL/pgSQL и SQL",100000,170000
Lead Data Engineer,Москва,От 3 до 6 лет,"Python, PL/pgSQL и SQL",200000,210000
ML Engineer,Москва,От 3 до 6 лет,"Python, Docker, SCALA, Hadoop, Big Data, Spark, Machine Learning",300000,350000
Системный архитектор (Data Warehouse),Новосибирск,От 3 до 6 лет,"PostgreSQL, MS SQL Server, DWH, Power BI, Базы данных, ETL",300000,330000
Senior Data Engineer / Senior Big Data Engineer,Москва,От 3 до 6 лет,"Python Application Server (Anaconda); Jupiter notebook, Jupiter Hub; Red Hat, Ubuntu, CentOS; GitLab",150000,200000
Data Scientinst (NLP),Москва,От 3 до 6 лет,"Python: PyTorch, Transformers, Peft, Scikit-learn, Pandas; Spark, GitLab, Docker, Kubernetes, AirFlow; Hadoop, PostgreSQL, Kafka; Jira, Confluence",100000,150000
Data Engineer AI (удаленно),Московская область,От 3 до 6 лет,"Python, DWH, PostgresSQL, CRM, ERP, SQL, ETL, PowerBI, PostgreSQL, Power BI, ML",220000,340000
ML Engineer,Москва,От 3 до 6 лет,"Python, Machine Learning, Hadoop, Spark, Big Data, Kafka, Airflow",120000,220000
Computer Vision engineer (Team lead),Москва,От 3 до 6 лет,"Python, Linux, OpenCV, PyTorch, Computer Vision",280000,330000
Team Lead Data Scientist,Москва,От 3 до 6 лет,"ML, NLP (Python)",180000,230000
Senior NLP Researcher,Казань,От 3 до 6 лет,"PyTorch, TensorFlow, Transformers, T5, Bert, HuggingFace, ChatGPT, Deep Learning, NLP, Data Science, Machine Learning, ML",55000,125000
"Ведущий Data Scientist, Ранжирование поиска",Москва,От 3 до 6 лет,"Python, data science, Разработка поисковых технологий, IT",180000,250000
Data collection engineer,Москва,От 3 до 6 лет,"QA, MLOps/DevOps",180000,230000
Data Engineer Senior/Lead,Новосибирск,От 3 до 6 лет,"Kafka, DWH, ClickHouse, Greenplum, Airflow, Hadoop, Spark",190000,290000
Data scientist senior,Московская область,От 3 до 6 лет,"data science, Python, SQL",150000,180000
Data Scientist,Москва,От 3 до 6 лет,"Scikit-learn, TensorFlow, XGBoost, CatBoost",300000,370000
TeamLead DS,Москва,Более 6 лет,"Python, PySpark, Pandas, PyTorch, RecBole, Scikit-learn, MLFlow",200000,230000
Data engineer/BI-аналитик,Тюмень,От 3 до 6 лет,"SQL, PostgreSQL, СУБД, Java, Power BI",270000,370000
Deep Learning Engineer (Motion Prediction),Казань,От 3 до 6 лет,"C++, Python, Cuda, Computer vision, Deep Learning",120000,170000
Руководитель направления MLOps,Москва,От 3 до 6 лет,"ORACLE, Hadoop, Big Data, PostgreSQL, Spark, FastApi, AirFlow",180000,210000
Data инженер,Московская область,От 3 до 6 лет,"Clickhouse, АirFlow, Postgres, Grafana, Prometheus",270000,370000
Эксперт по разработке моделей (модели PD/LGD/EAD),Новосибирск,От 1 года до 3 лет,"SQL, Python, ML",210000,230000
Middle \ Senior Data Scientist в команду моделирования розничного бизнеса,Казань,От 1 года до 3 лет,"Python, SQL, Математическое моделирование, Математический анализ, R",270000,300000
Team Lead Data Scientist (RecSys),Казань,От 3 до 6 лет,"Machine learning, Data science, RecSys",270000,300000
Руководитель группы машинного обучения,Москва,От 3 до 6 лет,"Python, Управление командой",300000,370000
Data Science Team Lead,Москва,От 3 до 6 лет,"PySpark, Airflow, Hadoop, redis, rabbitMQ, k8s, LLM, NLP",120000,170000
Стажер - разработчик скоринговых карт,Санкт-Петербург,Нет опыта,"SQL, Python, Базы данных, Скоринговая карта, База данных: Oracle, Sas",300000,370000
Team Lead ML,Тюмень,От 3 до 6 лет,"Python, Hadoop, Big Data, Spark, Airflow, SCALA, Hive, ETL, DWH",150000,170000
Data Scientist,Москва,От 3 до 6 лет,"Python, SQL",210000,310000
Эксперт цифровой продуктовой витрины,Санкт-Петербург,От 1 года до 3 лет,"Ценообразование, Power BI, SQL, Кластеризация, регрессия, классификация, методы проверки гипотез",180000,210000
Администратор данных,Казань,От 1 года до 3 лет,"SQL, IBM InfoSphere Guardium",210000,280000
Senior Data Scientist (Ranking&Search),Москва,От 3 до 6 лет,"Python, Big Data, Machine Learning, Hadoop, Hive, Spark, ML",180000,210000
Senior Data Scientist,Новосибирск,От 3 до 6 лет,"Знание R или Python (Pandas, NumPy, Scikit-Learn, LightGBM, XGBoost, CatBoost)",180000,230000
Middle/Senior CV Engineer (OCR/HCR),Тюмень,От 3 до 6 лет,"Python, pytorch, numpy, sklearn, pandas, OCR, CV, OpenCV, docker",150000,160000
Data Engineer,Москва,От 1 года до 3 лет,"Linux, PowerShell, Transact-SQL, Python, С#, SQL",100000,110000
Data Engineer (Middle),Владивосток,От 1 года до 3 лет,"Python, Java, Rust",100000,140000
Middle Data Scientist,Санкт-Петербург,От 3 до 6 лет,"Python, Анализ данных, Git, Docker, LLM, NLP",180000,230000
Бизнес-аналитик,Казань,От 1 года до 3 лет,"SQL, Математическая статистика, Математическое моделирование, Работа с базами данных, Математический анализ, Бизнес-анализ, Статистический анализ, Аналитическое мышление, MS SQL, Финансовый анализ",120000,220000
Ведущий специалист DATA SCIENCE,Москва,От 1 года до 3 лет,"Python, machine learning, SQL, Базы данных",150000,200000
Senior Data Scientist (NLP) в автоматизацию коммуникаций,Московская область,От 3 до 6 лет,"Scikit-learn, HuggingFace, PyTorch",280000,330000
ML Engineer,Москва,От 3 до 6 лет,"Python, Docker, SCALA, Hadoop, Big Data, Spark, Machine Learning",180000,210000
Senior MLE/DS в команду рекомендаций,Москва,От 3 до 6 лет,"ML (GBDT, LR), Kotlin",300000,500000
Team Lead ML Campaining,Санкт-Петербург,От 3 до 6 лет,"Python, ML, Spark, Machine Learning",200000,250000
NLP engineer,Сочи,От 3 до 6 лет,"Python, PostgreSQL, nlp, MATLAB, Анализ данных, PyTorch, Data Science, NLP",200000,270000
Middle NLP Data Scientist (LLM),Москва,От 3 до 6 лет,"Аналитическое мышление, Аналитические исследования, Математическое моделирование, Data Analysis, Machine Learning, Big Data, Прогнозирование, ML, MongoDB, NoSQL, ETL, MATLAB, NLP, LLM-driven, LoRa, RAG, PyTorch",200000,210000
Team Lead ML Engineer,Санкт-Петербург,От 3 до 6 лет,"ML, Data Science",270000,280000
Руководитель отдела Data Science,Москва,Более 6 лет,"pandas, numpy, matplotlib, sklearn, xgboost",130000,180000
Ведущий Data Engineer / Lead (Java),Санкт-Петербург,Более 6 лет,"Java/Scala, Golang, Python",300000,330000
Middle MLE/DS c NLP направленностью,Москва,От 1 года до 3 лет,"Уверенное знание Python (3.8+) понимание, как устроены основные ML и DL алгоритмы (от решающих деревьев до трансформеров) хорошее владение pytorch, torchaudio, docker  опыт работы в ML от 1,5 лет     опыт работать с аудио данными   Будет плюсом:  опыт создания сервисов умение в MLOps ",150000,300000
Senior NLP Engineer,Москва,От 3 до 6 лет,"Transformers, GPT, LLMs, BERT, T5, чат-боты, fairseq",270000,340000
Data Scientist (CoreML + RecSys),Казань,От 1 года до 3 лет,"Python, SQL, PyTorch, Математическая статистика, Keras",100000,110000
Руководитель по развитию цифрового клиентского опыта,Санкт-Петербург,От 3 до 6 лет,"Управление командой, Цифровые каналы, Цифровые продажи, Аналитика данных, Структура и презентация цифр, Командообразование, Бизнес-анализ, Стратегическое мышление, Управление интернет-проектами",210000,260000
Middle/ senior data scientist (разработка моделей для казначейства и рыночных рисков),Москва,От 3 до 6 лет,"Python, SQL, Математическая статистика, Hadoop, Математическое моделирование, Spark, ML",100000,150000
NLP engineer,Москва,От 3 до 6 лет,"Python, PostgreSQL, nlp, MATLAB, Анализ данных, PyTorch, Data Science, NLP",210000,260000
Senior Data science expert в Центр технологий ИИ,Новосибирск,От 3 до 6 лет,"Python, SQL, алгоритмы ML, Pandas, Sklearn, Numpy, Математическая статистика, машинное обучение",300000,400000
Data Scientist,Москва,От 3 до 6 лет,"MongoDB, ElasticSearch, Redis, .NET Core, Python, PostgreSQL, EF Core",150000,220000
Senior Data Scientist NLP,Москва,От 3 до 6 лет,"NLTK, genism, word2vec, Bert",130000,150000
Data Science Lead / Руководитель группы специалистов по машинному обучению и аналитике данных,Москва,От 3 до 6 лет,"Python, SQL",120000,130000
Data scientist,Москва,От 3 до 6 лет,"Python, Spark, SQL, Machine learning, Deep learning, NLP",100000,130000
Middle NLP Data Scientist (LLM),Москва,От 3 до 6 лет,"Аналитическое мышление, Аналитические исследования, Математическое моделирование, Data Analysis, Machine Learning, Big Data, Прогнозирование, ML, MongoDB, NoSQL, ETL, MATLAB, NLP, LLM-driven, LoRa, RAG, PyTorch",280000,310000
Senior Data Scientist,Москва,От 3 до 6 лет,"Python, SQL, PySpark, Pandas, PyTorch, RecBole, Scikit-learn, MLFlow",130000,180000
Data scientist CV (senior),Казань,Более 6 лет,"OpenCV, Data Science, OCR",100000,150000
Senior Data Scientist в команду моделирования партнерств и ИТ - процессов,Санкт-Петербург,От 3 до 6 лет,"Python, Математическое моделирование, Hadoop, Spark, Математическая статистика",100000,130000
Machine Learning Lead engineer,Москва,От 3 до 6 лет,"Machine Learning, ML, C#",270000,280000
Senior Data Scientist,Санкт-Петербург,От 3 до 6 лет,"Python, SQL, PySpark, Pandas, PyTorch, RecBole, Scikit-learn, MLFlow, AirFlow, Prefect, Luigi",210000,220000
"DS NLP (LLM), Senior",Москва,От 3 до 6 лет,"Python, SQL, PySpark, Pandas, PyTorch, RecBole, Scikit-learn, MLFlow",85000,115000
Senior Data Scientist (Rec. system),Санкт-Петербург,От 3 до 6 лет,"Python, SQL, deep learning, ML",150000,220000
Middle/Senior Data Scientist в команду NLP,Московская область,От 3 до 6 лет,"NLP, Python, PyTorch, Data Science, Numpy, Sklearn",210000,260000
Исследователь больших данных/ Middle+ MLE (GeoML),Москва,Более 6 лет,"Яндекс Облако, PySpark в k8s, Jupyterhub, Airflow, MLFlow, Postgres, Gitlab, Grafana",130000,230000
Senior Data Scientist (NLP),Московская область,От 3 до 6 лет,"Python, PyTorch, Clickhouse, Docker, K8S, huggingface",270000,320000
Руководитель направления Data Science,Москва,От 3 до 6 лет,"Python, SQL",280000,350000
Team Lead Data Scientist CV (Generative design),Санкт-Петербург,От 3 до 6 лет,"Machine Learning, Deep Learning, Generative design, AI, ML, CV, Python, LLM",180000,250000
Data Scientist Teamlead NLP,Москва,От 3 до 6 лет,"SQL, Python, PyTorch, Docker, Hadoop, DVC, git",200000,270000
Medical foundation model research data scientist CV+NLP (Middle+),Москва,От 3 до 6 лет,PyTorch,180000,250000
"Data Scientist (Автор курса ""Векторизация и работа с векторами"")",Тюмень,От 3 до 6 лет,"NLP, Python, ML, Математическая статистика",100000,170000
Senior Data Scientist CV (Generative design),Москва,От 3 до 6 лет,"Machine Learning, ML, Data Science, DS, Машинное обучение, CV, Computer Vision, MLE, Deep Learning, DL, Generative Design, GD, Генеративный Дизайн",100000,150000
Ведущий специалист по разработке скоринговых карт,Новосибирск,От 1 года до 3 лет,"SQL, Sas, Базы данных, Скоринговая карта, База данных: Oracle, Python",55000,105000
Lead data scientist (Анализ цены и Trade in),Москва,От 3 до 6 лет,"PyData: Pandas, NumPy, SciPy, scikit-learn, pytorch/keras/TensoFlow, SQL",180000,200000
Senior Data Scientist,Томск,Более 6 лет,"SQL, Анализ данных, A/B тесты, LTV prediction, RecSys, Ulift modeling, Churn prediction",200000,210000
Data engineer (middle+),Новосибирск,От 3 до 6 лет,"Linux, ETL, Apache Kafka, Apache Spark, Apache NiFi, SQL, Python, SCALA, Kubernetes, C#, .NET Framework",150000,180000
"Автор дисциплины ""Задачи NLP в машинном обучении""",Нижний Новгород,От 3 до 6 лет,"NLP, ML, Data Science, Обучение и развитие, Написание текстов",270000,320000